['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| ได้นำระเบิดแสวงเครื่องหนัก 5 ก.ก.จุดชนวนด้วยรีโมตคอนโทรลไปวางไว้ที่ริมถนนสายบาเจาะ-บ้านทอนช่วงบริเวณบ้านดูกู ม.3 ต.บลาเจาะ ||| และได้จุดชนวนระเบิด
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| หากขนผักมาขาย ความสูงเท่ากับโครงเหล็กเสริมด้านข้าง จะคิดอัตราค่าเข้าสูงสุดอยู่ที่ 70 บาท ถ้าผักที่ขนมาขายสูงระดับกลางเหล็กเสริม เสียค่าเข้า 50 บาท หากขนผักมาเสมอขอบกระบะ จะเสียค่าเข้าต่ำสุดอยู่ที่ 30 บาท ||| แต่ถ้าเป็นผลไม้ค่าเข้าสูงสุดจะอยู่ที่ 70 บาท ต่ำสุดอยู่ที่ 40 บาท
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| รถหกล้อ 100 บาท ||| และรถสิบล้อ 150 บาท
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| ซื้อขาย ||| และส่งของ
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| พนักงานบรรทุกผักและผลไม้ให้ลูกค้า สวมเสื้อกั๊กสีน้ำเงินประมาณ 200 คน ||| ส่วนค่าจ้างแล้วแต่จะตกลงกับเจ้าของรถ
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| เข็น ||| และบรรทุกผักผลไม้
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| เข็น ||| และบรรทุกผัก-ผลไม้
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| นอกจากรูปแบบเสื้อจะเหมือนกันแล้ว ||| ยังต้องจ่ายเงินซื้อแรกเข้าทำงานด้วย
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| สมัยตลาดเปิดใหม่ๆมีราคาเพียงตัวละ 2,000 บาท ||| ต่อมามีกลุ่มที่มองเห็นประโยชน์จากตรงนี้ ออกกว้านซื้อเสื้อมาขายต่อปัจจุบันมีมากกว่า 500 ตัว
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| 200 ตัวแรก ราคาจะอยู่ที่ 1.5 หมื่นบาทคิดเป็นเงิน 3 ล้านบาท สามารถทำงานได้ 3 ชั่วโมงต่อวัน ||| ส่วนที่เหลือราคาตัวละ 3 หมื่นบาท ทำงานได้ 6 ชั่วโมง
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| เข็น ||| และบรรทุก
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| เบ็ดเสร็จเป็นเงิน 12,500 บาท ||| โดยเสื้อกั๊กนี้สามารถใช้ได้กับคนในครอบครัวที่มีนามสกุลเดียวกันเท่านั้น
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| เบ็ดเสร็จเป็นเงิน 12,500 บาท ||| ขณะที่ธุรกิจห้องน้ำเองก็สร้างรายได้ไม่น้อย โดยคิดค่าบริการครั้งละ 5 บาทเปิดให้บริการตลอดทั้งวันทั้งคืน
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| อนาคตจะเป็นพืชเศรษฐกิจที่สำคัญ ||| เนื่องจากเป็นที่นิยมบริโภค
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| กรมป่าไม้ประสบผลสำเร็จในการศึกษาวิจัยเพาะเลี้ยงเห็ดโคนป่าเป็นรายแรกของไทย ||| นอกจากนี้ ยังเพาะเลี้ยงแมลงเบ้ากุดจี่ขนาดยักษ์สำเร็จ
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| ยังเพาะเลี้ยงแมลงเบ้ากุดจี่ขนาดยักษ์สำเร็จ ||| พร้อมประกาศสนับสนุนให้เกษตรกรเพาะเลี้ยงเพื่อส่งออกด้วย
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| โครงการดังกล่าวศึกษาวิจัยเพาะเห็ดโคนตั้งแต่ปี 2546 ||| และจะสิ้นสุดปี 2550
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| นำแมลงเม่ามาปล่อยทดลองเลี้ยง ||| และใช้ปลวกเลี้ยงพันธุ์ Macrotermes_gilvus_Hagen
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| สามารถเพาะเห็ดโคนได้ดี ||| จนสำเร็จเมื่อปี 2548
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| สามารถเพาะเห็ดโคนได้ดี จนสำเร็จเมื่อปี 2548 ||| จากนั้นจึงทดลองจนแน่ชัดว่าอยู่ในระดับนิ่งแล้ว
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| สามารถเพาะเห็ดโคนได้ดี จนสำเร็จเมื่อปี 2548 ||| จึงทดลองจนแน่ชัดว่าอยู่ในระดับนิ่งแล้ว
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| ทดลอง ||| จนแน่ชัดว่าอยู่ในระดับนิ่งแล้ว
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| เนื่องจากมีความอร่อย ||| จึงเป็นที่นิยมบริโภคของประชาชนทั่วไป
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| สามารถเพาะเห็ดโคนได้ดี จนสำเร็จเมื่อปี 2548 ||| อย่างไรก็ตาม ที่ผ่านมาประเทศไทยไม่สามารถเพาะเห็ดโคนได้เองต้องอาศัยหาตามแหล่งป่าธรรมชาติ
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| ฉะนั้นหลังจากที่มีการศึกษาวิจัยเพาะเห็ดโคนจนสำเร็จแล้ว ||| ต่อไปหากมีการสนับสนุนถ่ายทอดเทคโนโลยีแก่เกษตรกรคาดว่าจะสามารถเพาะเห็ดโคนเพื่อส่งจำหน่ายสนองความต้องการตลาดได้แน่นอน
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| หลังจากที่มีการศึกษาวิจัยเพาะเห็ดโคนจนสำเร็จแล้ว ||| ต่อไปหากมีการสนับสนุนถ่ายทอดเทคโนโลยีแก่เกษตรกรคาดว่าจะสามารถเพาะเห็ดโคนเพื่อส่งจำหน่ายสนองความต้องการตลาดได้แน่นอน
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| ที่มีการศึกษาวิจัยเพาะเห็ดโคน ||| จนสำเร็จแล้ว
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| หลังจากที่มีการศึกษาวิจัยเพาะเห็ดโคนจนสำเร็จแล้ว ||| นอกจากนี้ กรมป่าไม้ยังประสบความสำเร็จในการเพาะเลี้ยงแมลงเบ้ากุดจี่ขนาดยักษ์ (แมลงกุดจี่) สำเร็จอีก
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| มีขนาดเล็กเป็นที่รู้จัก ||| และพบเห็นทั่วไป
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| กุดจี่บ้านมีขนาดเล็กเป็นที่รู้จักและพบเห็นทั่วไป ||| แต่แมลงเบ้ากุดจี่ยักษ์หายาก
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| ลูกเบ้ามีขนาดใหญ่เกือบเท่าลูกเปตองคือมีเส้นผ่าศูนย์กลาง 6.5-8.5 ซม. ตัวแมลงกุดจี่ ||| ส่วนอกกว้าง 2.2-3.0 ซม. ลำตัวยาว 3.6-5.0
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| เบ้ากุดจี่ยักษ์ถือเป็นแมลงสวยงามมีคุณค่าควรแก่ การสะสม โดยจัดเป็นของที่ระลึกให้ชาวต่างชาติขายได้ในราคาตัวละ 100-300 บาท ||| ขณะที่คนไทยนิยมบริโภคแมลงเบ้ากุดจี่เป็นอาหาร
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| มีขายจำกัดเฉพาะพื้นที่เท่านั้น ||| เพราะเป็นแมลงที่หายากมีปริมาณน้อย และนับวันจะเริ่มใกล้สูญพันธุ์
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| เป็นแมลงที่หายากมีปริมาณน้อย ||| และนับวันจะเริ่มใกล้สูญพันธุ์
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| ไม่รู้จักเพาะเลี้ยง ||| และจัดการขยายพันธุ์
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| สำหรับแมลงเบ้ากุดจี่จัดเป็นแมลงกินได้ที่มีขนาดใหญ่ที่สุด ลำตัวใหญ่ เนื้อหนา ||| จึงนิยมบริโภคโดยการย่าง หรือจี่
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| ก่อนนำมาทำเป็นอาหาร ||| ควรล้างให้สะอาด
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| ควรล้างให้สะอาด ||| และต้มให้สุก
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| ต้มให้สุก ||| ก่อนบริโภคเพื่อความปลอดภัย
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| เมื่อย่อยสลายขับถ่ายออกมา ||| จะทำให้ดินร่วนซุยอุดมสมบูรณ์
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| สำหรับการเพาะเลี้ยงแมลงเบ้ากุดจี่ง่ายมาก โดยให้อาหารมูลวัวหรือมูลควาย เป็นแมลงที่มีวงจรชีวิตนาน 1 ปี ||| กรมป่าไม้จึงแนะนำให้เกษตรกรหันมาเพาะเลี้ยงเบ้ากุดจี่ยักษ์ หรือแมลงมหัศจรรย์เศรษฐกิจตัวใหม่ให้เป็นอาชีพใหม่เพื่อเสริมรายได้แก่เกษตรกร
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| ได้รับแจ้งว่า มีคนถูกไฟฟ้าดูดภายในตู้ เอทีเอ็ม ของธนาคารกสิกรไทย ||| จึงรายงานให้บังคับบัญชาทราบและไปตรวจสอบที่เกิดเหตุอยู่ริมถนนสุขสวัสดิ์
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| รายงานให้บังคับบัญชาทราบ ||| และไปตรวจสอบที่เกิดเหตุอยู่ริมถนนสุขสวัสดิ์
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| มีพลเมืองดีนำตัวขึ้นรถพยาบาลไปรักษาที่โรงพยาบาลราษฎ์บูรณะ กรุงเทพมหานคร ||| และเข้าไปรักษาตัวในห้องไอซียู
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| จากนั้น<*>ได้เข้าไปในตู้ สักพัก ||| ได้ยินเสียงนายปฐมพงษ์ร้องเสียงดังออกมาจากตู้
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| เห็นนายปฐมพงษ์ล้มพาดกับรถจักรยานของตัวเองที่จอดพิงอยู่หน้าตู้ คว่ำลงไปกับพื้น ||| และเห็นนายปฐมพงษ์ มีอาการมือเท้าตนเห็น
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| เห็นนายปฐมพงษ์ มีอาการมือเท้าตนเห็น ||| ดังนั้นจึงตกใจทำอะไรไม่ถูก
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| ตกใจทำอะไรไม่ถูก ||| จนกระทั่งนายสุทธิศักดิ์ มธุรพงศากุล อายุ 29 ปี อยู่บ้านเลขที่ 53/ หมู่ 10 ต.บางครุ อ.พระประแดง จ.สมุทรปราการ วิ่งเข้ามาช่วยเหลือ
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| ได้ยินเสียงคนร้องขอความช่วยเหลือดังมาจากหน้าตู้ เอทีเอ็ม ||| ก็ไม่ได้สนใจอะไรนึกว่ามีคนถูกรุมทำร้าย
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| ตนก็ไม่ได้สนใจอะไรนึกว่ามีคนถูกรุมทำร้าย ||| และอีกอย่างฝนก็กำลังตกพรำๆ
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| เมื่อเงียบเสียง ||| จึงเดินออกมาดูเห็นนายปฐมพงษ์ กำลังนอนคว่ำพาดรถจักรยาน
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| สภาพมือเท้าเกร็ง ||| ตนจึงรีบถอดเสื้อมาพันมือดึงล้อรถจักรยานออกมาจากพื้นของตู้เอทีเอ็ม
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| เห็นประกายไฟที่แฮนด์รถกับพื้นตู้ซึ่งเป็นเหล็กครูดกันเป็นทางยาว ||| จากนั้นรีบหงายร่างของนายปฐมพงษ์และปฐมพยาบาลโดยการเป่าปาก
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| รีบหงายร่างของนายปฐมพงษ์ ||| และปฐมพยาบาลโดยการเป่าปาก
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| รีบหงายร่างของนายปฐมพงษ์และปฐมพยาบาลโดยการเป่าปาก ||| ก่อนที่แจ้งรถพยาบาลมารับตัวไปรักษา
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| มีอาการปลอดภัย ||| และได้ออกจากห้องไอซียูแล้ว
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| ขณะนี้นายปฐมพงษ์ มีอาการปลอดภัย และได้ออกจากห้องไอซียูแล้ว ||| ส่วนสาเหตุเบื้องต้นน่าจะเกิดจากสายไฟฟ้ารั่วทำให้ไฟวิ่งลงมาที่พื้นตู้ซึ่งทำด้วยโลหะ
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| สายไฟฟ้ารั่วทำให้ไฟวิ่งลงมาที่พื้นตู้ซึ่งทำด้วยโลหะ ||| และประกอบกับเป็นช่วงเวลาเดียวกันกับฝนที่ตกลงมาอย่างหนัก
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| เป็นช่วงเวลาเดียวกันกับฝนที่ตกลงมาอย่างหนัก ||| และตามร่างกายของนายปฐมพงษ์ก็เปียกน้ำด้วย
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| สายไฟฟ้ารั่วทำให้ไฟวิ่งลงมาที่พื้นตู้ซึ่งทำด้วยโลหะ และประกอบกับเป็นช่วงเวลาเดียวกันกับฝนที่ตกลงมาอย่างหนัก และตามร่างกายของนายปฐมพงษ์ก็เปียกน้ำด้วย ||| จึงทำให้เกิดไฟดูดและล้มลงดังกล่าว
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| ทำให้เกิดไฟดูด ||| และล้มลงดังกล่าว
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| จะได้ตรวจสอบโดยละเอียดอีกครั้ง เพื่อหาสาเหตุที่แท้จริง ||| และหลังเกิดเหตุได้สั่งให้เจ้าหน้าที่ตัดไฟฟ้าที่ตู้เอทีเอ็มทั้งสองตู้เพราะเกรงว่าจะมีคนไม่รู้เข้าไปกดเงินอีก
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| หลังเกิดเหตุ ||| ได้สั่งให้เจ้าหน้าที่ตัดไฟฟ้าที่ตู้เอทีเอ็มทั้งสองตู้เพราะเกรงว่าจะมีคนไม่รู้เข้าไปกดเงินอีก
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| ได้สั่งให้เจ้าหน้าที่ตัดไฟฟ้าที่ตู้เอทีเอ็มทั้งสองตู้ ||| เพราะเกรงว่าจะมีคนไม่รู้เข้าไปกดเงินอีก
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| เสริมสร้างครอบครัวให้อบอุ่น ||| และเป็นสุข
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| ตรวจสอบ ||| และระงับการนำเสียงเพลง "คนเลวที่รักเธอ"
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| เสียงเรียก ||| ขณะรอรับสาย (ริงโทน)
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| สมาคมเสริมสร้างครอบครัวฯ ได้ทำหนังสือถึงผู้บริหารบริษัทมือถือจำนวน 4 แห่ง ||| เนื่องจากเพลงดังกล่าวคณะกรรมการกิจการวิทยุกระจายเสียงและวิทยุโทรทัศน์แห่งชาติ (กทช.) ได้มีตามที่สมาคมเสริมสร้างครอบครัวฯ ได้ร้องขอให้ตรวจสอบว่า มีเนื้อหาไม่เหมาะสม หมิ่นเหม่และขัดศีลธรรมอันดีงาม
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| ไม่เหมาะสม หมิ่นเหม่ ||| และขัดศีลธรรมอันดีงาม
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| ทำความเลว ||| แล้วจะมีความสุข
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| คนทำความเลวแล้วจะมีความสุข ||| ในขณะที่คนทำความดีไม่มีความสุข
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| สนับสนุนให้คนทำความเลวแล้วจะมีความสุข ในขณะที่คนทำความดีไม่มีความสุข ||| และไม่ควรสนับสนุนให้มีการเผยแพร่ออกอากาศทางสถานี
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| ไม่ควรสนับสนุนให้มีการเผยแพร่ออกอากาศทางสถานี ||| เพราะอาจเป็นตัวอย่างที่ไม่ดีแก่เด็กและเยาวชนได้
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| เป็นการเสริมสร้างสถาบันครอบครัวให้มีความรัก ความอบอุ่น และเข้มแข็งด้วยคุณธรรม "หนึ่งสามี หนึ่งภรรยา" ||| และรักษาภาพลักษณ์ของกุลสตรีไทย ทางสมาคมเสริมสร้างครอบครัวฯ
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| ได้โปรดตรวจสอบ ||| และระงับการนำเสียงเพลง "คนเลวที่รักเธอ" มาทำเป็นเสียงเรียกเข้าและเสียงเรียกขณะรอรับสาย (ริงโทน) ด้วย
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| ได้ออกหนังสือขอความร่วมมือไปยัง ผู้อำนวยการสถานีโทรทัศน์ทุกช่อง ไม่ให้มีการเผยแพร่เพลง "คนเลวที่รักเธอ"ออกอากาศทางสถานี ||| เพราะอาจจะเป็นตัวอย่างที่ไม่ดีแก่เด็กและเยาวชน
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| เท่าที่ทราบการเรียนรด.ไม่ใช่ว่าทุกคนจะได้เรียน ||| แต่จะมีการคัดเลือกโดยกระทรวงกลาโหมจะดำเนินการโดยพิจารณาจากผลการเรียนและสมรรถภาพทางร่างกาย
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| ในส่วนนี้เป็นหน้าที่ของกระทรวงกลาโหม(กห.) ซึ่งเท่าที่ทราบการเรียนรด.ไม่ใช่ว่าทุกคนจะได้เรียน แต่จะมีการคัดเลือกโดยกระทรวงกลาโหมจะดำเนินการโดยพิจารณาจากผลการเรียนและสมรรถภาพทางร่างกาย ||| แต่ในช่วงหลังมีนักเรียนสนใจเรียนมากขึ้นและเห็นว่าเป็นประโยชน์กระทรวงกลาโหมจึงของบประมาณเพิ่มเติม
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| ในช่วงหลังมีนักเรียนสนใจเรียนมากขึ้น ||| และเห็นว่าเป็นประโยชน์กระทรวงกลาโหม
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| ในช่วงหลังมีนักเรียนสนใจเรียนมากขึ้นและเห็นว่าเป็นประโยชน์กระทรวงกลาโหม ||| จึงของบประมาณเพิ่มเติม
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| ไม่มีงบประมาณสนับสนุนในส่วนนี้ ||| แต่มีนักเรียนที่สนใจจะเรียนเป็นจำนวนมาก
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| หากขณะนี้ไม่มีงบประมาณสนับสนุนในส่วนนี้ แต่มีนักเรียนที่สนใจจะเรียนเป็นจำนวนมาก ก็ให้เรียกเก็บเพิ่มเติมจากผู้ปกครองก็น่าจะดำเนินการได้ ||| เพราะเชื่อว่าผู้ปกครองจะยินดีจ่ายขอเพียงให้ลูกได้เรียนเพื่อที่จะไม่ต้องไปเป็นทหารเมื่ออายุครบเกณฑ์ทหาร
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| ไม่ต้องไปเป็นทหาร ||| เมื่ออายุครบเกณฑ์ทหาร
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| ไม่เกี่ยวกับ สพฐ. ||| เพราะงบ รด. เป็นงบประมาณที่กระทรวงกลาโหมเป็นคนตั้งงบประมาณ
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| ทางโรงเรียนต้นสังกัดจะต้องทำเรื่องเสนอเพื่อขอเงินสนับสนุนมา ||| แต่ปรากฏว่าปี 2549 ยังไม่ได้รับรายงานว่ามีโรงเรียนไหนขอเงินอุดหนุนมายังสพฐ.
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| พิจารณาร่างพ.ร.บ.งบประมาณรายจ่ายประจำปีงบประมาณพ.ศ.2549 ||| และเสนอขอตั้งงบประมาณเพื่อดำเนินการตามแผนสำหรับปีต่อไป
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| มีคำสั่งเลื่อนนัดสั่งคดี นายเอกรัตน์ วงศ์ฉลาดหรือแด๊ก บิ๊กแอส นักร้องดังสังกัดค่ายแกรมมี่ ผู้ต้องหาคดีพรากผู้เยาว์อายุไม่เกิน 18 ตามประมวลกฎหมายอาญา มาตรา 318 และ 283 ||| เนื่องจากต้องรอผลการสอบสวน พยานเพิ่มเติมอีก 4-5 ปาก จากพนักงานสอบสวน กองบังคับการปราบปรามการกระทำผิดต่อเด็กเยาวชนและสตรีหรือ ปดส.
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| อัยการเลื่อนการสั่งคดีออกไปเป็นวันที่ 4 ก.ค.นี้ เวลา 10.00 น.เนื่องจากต้องรอผลการสอบสวน พยานเพิ่มเติมอีก 4-5 ปาก จากพนักงานสอบสวน กองบังคับการปราบปรามการกระทำผิดต่อเด็กเยาวชนและสตรีหรือ ปดส. ||| อย่างไรก็ดีนัดฟังคำสั่งคดีวันนี้ นายเอกรัตน์ หรือแด๊ก ไม่ได้เดินทางพบอัยการแต่อย่างใด โดยนายเอกรัตน์ มอบหมายให้นายประกันมาลงเซ็นชื่อรับทราบคำสั่งเลื่อนนัด แทน
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| เกิน 15 ปี ||| แต่ไม่เกิน 18 ปี
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| เกินกว่า 15 ปี ||| แต่ไม่เกิน 18 ปี
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| ชิงกินยาฆ่าตัวตาย ||| พร้อมเขียนจดหมาย รับผิดคนเดียว
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| รวบ 4 ผู้ต้องหาฆ่า "กอบกุล" เผยทำงานกันเป็นทีม มี ผจก.ตลาดศรีเมืองคอยชี้เป้า ให้กำนันดังเมืองเพชรและลูกชายลงมือยิงขณะคนคอยรายงานความเคลื่อนไหวของเหยื่อ ชิงกินยาฆ่าตัวตาย พร้อมเขียนจดหมาย รับผิดคนเดียว ||| แต่ยังไม่ปักใจเชื่อ
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| ให้การรับสารภาพ ||| และซัดทอดถึงผู้ก่อเหตุ อีก 4 คน
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| ออกหมายจับ ||| และตามจับมาได้ 3 คน
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| เป็นคนติดตามเป้าหมาย ||| และรายงานให้กับนายอนันตศักดิ์ ทราบเป็นระยะๆในคืนที่เกิดเหตุนั้น
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| นายอานนท์เป็นคนขับรถกระบะยี่ห้อวีโก้ ที่ใช้ก่อเหตุ มีนายอนันตศักดิ์ นั่งอยู่ในรถเป็นคนชี้เป้า ||| ส่วนนายจำรณ นั่งอยู่เบาะซ้ายหน้าคู่กับของคนขับ และเป็นผู้ใช้ปืนเอ็ม_16 ยิงใส่รถยนต์ของนางกอบกุล
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| นั่งอยู่เบาะซ้ายหน้าคู่กับของคนขับ ||| และเป็นผู้ใช้ปืนเอ็ม_16 ยิงใส่รถยนต์ของนางกอบกุล
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| นายจำรณ นั่งอยู่เบาะซ้ายหน้าคู่กับของคนขับ และเป็นผู้ใช้ปืนเอ็ม_16 ยิงใส่รถยนต์ของนางกอบกุล ||| ส่วนนายศุภฤทธิ์ นั่งอยู่ในกระบะและใช้อาวุธเอ็ม_16 ยิงรถยนต์นางกอบกุล จนเป็นเหตุให้นางกอบกุลเสียชีวิต
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| นั่งอยู่ในกระบะ ||| และใช้อาวุธเอ็ม_16 ยิงรถยนต์นางกอบกุล
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| ใช้อาวุธเอ็ม_16 ยิงรถยนต์นางกอบกุล ||| จน<*>นางกอบกุลเสียชีวิต
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| ชุดสืบสวนตำรวจภูธรจังหวัดเพชรบุรีนำหมายศาลจังหวัดเพชรบุรี เข้าจับกุมตัว นายจำรณ ขณะเดินเล่นอยู่หน้าบ้านบ้านเลขที่ 30 หมู่ 2 ต.ยางน้ำกลัดใต้อ.หนองหญ้าปล้อง จ.เพชรบุรี ซึ่งเป็นบ้านของนางบุญยงค์ มุกดา อายุ 40 ปี ภรรยาอีกคนหนึ่งของ ||| จากนั้นทีมสืบสวนจากตำรวจภูธรภาค 7 นำโดย พ.ต.อ.สมชาย รักเสนาะ ผกก.กศสส.ภ.7 พร้อมด้วย พ.ต.อ.ชาญ แก้วท่าไม้ผกก.สภ.อ.หนองหญ้าปล้อง พ.ต.อ.กิตติ สะเภาทอง ผกก.ป.2ปราบปรามและกองปราบปราม ร่วมกับเจ้าหน้าที่ชุดสืบสวนจำนวนหนึ่ง เดินทางมาสมทบ ก่อนจะกระจายกำลังเข้าตรวจค้นภายในบ้าน
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| เดินทางมาสมทบ ||| ก่อนจะกระจายกำลังเข้าตรวจค้นภายในบ้าน
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| สามีเพิ่งมาหาเมื่อคืนวันที่ 30 พฤษภาคมที่ผ่านมา ซึ่งปกติสามีจะมาหาอาทิตย์ละ 2-3 ครั้ง ||| ส่วนสามีจะเป็นคนยิงนางกอบกุล หรือไม่นั้น ไม่ทราบ เพราะสามีไม่เคยพูดให้
