['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| la intranet è cambiata ||| ci sono diverse diciamo modifiche in il nelle interfacce
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| 17 ||| perchè quando sì perchè quando apro appunto con <SW> <SW> <SW> <*> perchè quando sì perchè quando apro appunto con <SW> <SW> <SW> mi dice impossibile riprodurre i file effettuare la connessione a internet o introdurre il supporto removibile
['Temporal', 'Temporal.Synchrony', 'and'] ||| [None, None, None] ||| quando <*> mi dice impossibile riprodurre i file effettuare la connessione a internet o introdurre il supporto removibile ||| apro appunto con <SW> <SW> <SW>
['Expansion', 'Expansion.Alternative', 'and'] ||| [None, None, None] ||| effettuare la connessione a internet ||| o introdurre il supporto removibile
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| aprire il contenuto in cui è contenuto il file ||| e quindi riprovare a riprodurre i file
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| aprire il contenuto in cui è contenuto il file ||| quindi riprovare a riprodurre i file
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| potrebbe essere una radio una cosa di il genere ||| ma quello non ciò provato
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| c' è solo una opzione da impostare su <SW> <SW> <SW> che di solito risolve il problema ||| proviamo magari a impostare questa cosa
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| mi dà solo l' RWS di il computer provo a collegar mi un attimo così ||| tra l' altro <*> tra l' altro però io non riesco a collegar mi su l' RWS <*> tra l' altro però io non riesco a collegar mi su l' RWS io non riesco a collegar mi su l' RWS
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| non so se ce l' ha ||| perchè forse <*> perchè forse ce l' ha è dinamico
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| perchè forse <*> perchè forse ce l' ha ||| è dinamico
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| è dinamico ||| cambia sempre
['Expansion', 'Expansion.Instantiation', 'and'] ||| [None, None, None] ||| le faccio allora vedere come fare per ricavar lo ||| dovrebbe andare su start <*> dovrebbe andare su start su la voce esegui esegui
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| andare su start <*> andare su start su la voce esegui ||| e poi cliccare su
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| dovrebbe andare su start <*> dovrebbe andare su start su la voce esegui ||| poi cliccare su
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| e poi cliccare su ||| le si aprirà una <*> le si aprirà una finestra nera di <SW>
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| le si aprirà una <*> le si aprirà una finestra nera di <SW> ||| dove c' è il cursore che lampeggia deve scrivere I P config
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| allora proviamo a mettere quell' opzione che le dicevo ||| bisogna impostare questa opzione qui
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| sente quindi ||| era solo <*> era solo quella opzione lì da <*> impostare
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| allora quindi accesso a procedure su la extranet ||| però le richiede l' installazione di qualche componente su la macchina giusto
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| le richiede l' installazione di qualche componente su la macchina giusto ||| presumo di file di programma
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| a me sono stati dati i codici di acceso ||| però entrando in il sito extranet <ORG> ecco anagrafe strutture sanitarie mi dà tutto una una serie di file che dovrebbero essere scaricati su la mia postazione
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| 159 ||| perchè è un programma che va installato comunque questo
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| perchè è un programma che va installato comunque questo ||| e lei non avendo i privilegi di amministratore non può da qua
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| ho provato ad aprire ||| ma io ho provato a inserire quello che mi era stato dato
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| io ho provato a inserire quello che mi era stato dato ||| ma ovviamente non entro
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| ho provato ad aprire ma io ho provato a inserire quello che mi era stato dato ma ovviamente non entro ||| ma non le accetta però le credenziali
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| ho provato ad aprire ma io ho provato a inserire quello che mi era stato dato ma ovviamente non entro ||| non le accetta <*> non le accetta però le credenziali <*> non le accetta però le credenziali le credenziali
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| a questo punto è diversa la cosa ||| perchè qua qua non dobbiamo ancora scaricare nu la qua dobbiamo semplicemente entrare in l' area riservata
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| qua non dobbiamo ancora scaricare nu la ||| qua dobbiamo semplicemente entrare in l' area riservata
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| io ho messo <*> <PER> ||| poi ho messo la pa <*> poi ho messo la pa la chiave appliccativa ASN
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| accedere a il programma una volta che ||| però è stato installato
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| accedere a il programma ||| una volta che <*> una volta che però è stato installato <*> una volta che però è stato installato è stato installato
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| poi ho messo la pa <*> poi ho messo la pa la chiave appliccativa ||| poi la chiave <SW> mi è stato dato l' user e il password
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| io ho provato a inserire <PER> e la password che mi è stata data ||| ma proprio non accede a <*> niente
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| mi è stato dato l' user e il <*> mi è stato dato l' user e il password e la password ||| poi ma avevo provato io sotto la password <PUNC> poi minuscolo
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| la password <PUNC> poi minuscolo ASN ||| poi presumo che sia <DIGIT> <DIGIT> però non c' è il taglietto
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| presumo che sia <DIGIT> <DIGIT> ||| però non c' è il taglietto c' è una coso c' è un <DIGIT>
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| non c' è il taglietto ||| c' è una coso
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| c' è una coso ||| c' è un <DIGIT>
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| non c' è il taglietto <*> comunque ||| presumo che sia <*> presumo che sia <DIGIT> <DIGIT>
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| mi fa lo stesso scherzetto quindi ||| non le accetta proprio
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| non le accetta proprio <*> quindi ||| cioè devo essere accreditata
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| non le accetta proprio <*> cioè ||| devo essere accreditata
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| devo essere accreditata ||| poi si può fare lo <*> poi si può fare lo scarico di il dei file
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| il problema è proprio quello <*> allora ||| parlo <*> con la referente di direzione
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| pensavo che fosse solo ||| non è così
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| allora devo parla con ||| probabilmente c' è qualche
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| siccome sono state <*> siccome sono state usate queste chiavi ||| pensavo che fosse stato fatto tutto allora
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| senta la referente ||| perchè noi non ci occupiamo di di dare le chiavi per questo
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| siccome sono state date ||| pensavo che tutto fosse stato fatto e bastava solo accedere
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| tutto fosse stato fatto ||| e bastava solo accedere
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| pensavo che tutto fosse stato fatto e bastava solo accedere ||| a quanto pare allora ci vuole proprio
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| c' è qualcosa che non quadra ancora ||| perchè mancando questa mancando questa <*> perchè mancando questa mancando questa questa chiave
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| senta la referente ||| e <*> eventualmente una volta che riesce a accedere a la sezione dove può scaricare l' applicativo allora se ci fossero di i problemi lì ci sentiamo
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| senta la referente ||| poi eventualmente una volta che riesce a accedere a la sezione dove può scaricare l' applicativo allora se ci fossero di i problemi lì ci sentiamo e vediamo di insomma di dar le tutta l' assistenza di il caso
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| purtroppo la chiave di <*> purtroppo la chiave di di utenza la password per l' accesso a l' area riservata non ci occupiamo direttamente <*> purtroppo la chiave di di utenza la password per l' accesso a l' area riservata non ci occupiamo direttamente noi di dar la ||| deve deve sentire il proprio re
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| purtroppo la chiave di <*> purtroppo la chiave di di utenza la password per l' accesso a l' area riservata non ci occupiamo direttamente <*> purtroppo la chiave di di utenza la password per l' accesso a l' area riservata non ci occupiamo direttamente noi di dar la ||| deve deve sentire il proprio re
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| ho detto ho telefonato pensando che tutto fosse stato fatto è solo ||| ma probabilmente è stato fatto
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| magari è stato trascritto male la la user name o la password ||| perchè se glie l' hanno comunicate pro presumo che siano quelle
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| presumo che siano quelle ||| magari c' è stato un errore di di di comunicazione
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| 24 ||| perchè praticamente mi hanno collegato in modo da poter leggere la la posta di l' ufficio anche da la mia postazione di casa purtroppo niente
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| praticamente mi hanno collegato in modo da poter leggere la la posta di l' ufficio anche da la mia postazione di casa ||| purtroppo niente
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| no perchè praticamente mi hanno collegato in modo da poter leggere la la posta di l' ufficio anche da la mia postazione di casa purtroppo niente ho ||| ma so che questo problema si è verificato anche per altri colleghi quindi non so
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| purtroppo niente ho ma so che questo problema si è verificato anche per altri colleghi quindi ||| non so
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| le do l' indirizzo IP ||| se mi dà il settore informatica è meglio
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| l' indirizzo che le deve mettere è <SW> <SW> ||| poi me lo segno
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| e la password la sua solita password quella che metteva ||| non quella che usa su <SW> però
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| se no ||| la resettiamo
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| forse lei prima rius tentava io di accedere come iniziali di il nome più il cognome ||| han fatto esatto sì sì sì sì un paio di modifiche a il server
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| perfetto quindi ecco perchè non riuscivamo ||| invece in questo modo possiamo
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| parte la ventola fa un rumore fortissimo ||| poi si bloccano i file
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| si bloccano i file ||| qua devo spegnere il computer e riaccender lo
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| questo discorso è iniziato ieri pomeriggio ||| me la rifatto sta mattina
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| me la rifatto sta mattina e ||| poi ieri anche quando usavo di i file semplicemente di <SW> si chiudevano senza salvare le ultime cose che avevo fatto
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| me la rifatto sta mattina <*> poi ||| ieri anche quando usavo di i file semplicemente di <SW> si chiudevano senza salvare le ultime cose che avevo fatto
['Temporal', 'Temporal.Synchrony', 'and'] ||| [None, None, None] ||| quando usavo di i file semplicemente di <SW> ||| si chiudevano senza salvare le ultime cose che avevo fatto
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| allora meritiamo appunto come soggetto pentola rumorosa ||| allora le lascio il numero il numero di di intervento
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| allora le lascio il numero il numero di di intervento ||| allora la richiesta è la numero <NUM> <*> <NUM> <*> <NUM>
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| io ho provato a entrare in Intranet per accedere a le mie timbrature ||| ma non ci riesco
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| ma non ci riesco ||| perchè io infilo il badge <*> perchè io infilo il badge digito PIN che è quello giusto perchè sono andata a controllar lo anche su la mail <*> perchè io infilo il badge digito PIN che è quello giusto perchè sono andata a controllar lo anche su la mail cioè su la cosa che mi avete mandato e mi dice il PIN non è corretto riprova
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| io infilo il badge ||| digito PIN che è quello giusto
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| che è quello giusto ||| perchè sono andata a controllar lo anche su la mail
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| digito PIN ||| e mi dice il PIN non è corretto
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| il PIN non è corretto ||| 87
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| mi dice il PIN non è corretto riprova ||| allora si è bloccato si è bloccato il codice PIN
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| si è bloccato si è bloccato il codice PIN ||| devo far glie sbloccare da i colleghi di le abilitazioni
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| solo un secondo che apriamo la richiesta ||| ma io devo guardar mi le cose di le ferie per poter
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| io ho inserito <*> io ho inserito subito il numero corretto ||| non ho inserito un altro <*> numero
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| ma in teoria <*> ma in teoria si blocca dopo due o tre tentativi errati ||| poi magari da quant' è che non lo utilizza
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| si blocca dopo due o tre tentativi errati ||| glie lo faccio sbloccare insomma con l' urgenza massima
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| glie lo faccio sbloccare insomma con l' urgenza massima ||| massimo una mezzoretta la richiamano e glie lo sbloccano in tempo reale
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| massimo una mezzoretta la richiamano ||| e glie lo sbloccano in tempo reale
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| _ ||| perchè io dovrei lavorare
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| anche perchè io dovrei lavorare <*> infatti ||| la chiamano in fretta
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| le dico che la chiamano in fretta ||| perchè sappiamo come cioè il problema è risolvibile abbastanza in fretta semplicemente facendo glie sbloccare
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| a l' in qualunque caso adesso digitando il codice PIN per accesso a procedure informatiche le direbbe che è sbagliato sia da il vecchio accesso che da che da quello nuovo allora ||| è senza senso
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| io devo comunicare a la mia dirigente che non posso segnare gli eventuali mancanze di orario o gli eventuali straordinari entro la fine di il mese ||| poi devo andare in ferie
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| non posso segnare gli eventuali mancanze di orario o gli eventuali straordinari entro la fine di il mese che poi devo andare in ferie ||| perchè non riesco a vedere le mie timbrature
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| se tra mezz' ora non è sbloccato io devo comunicare a la mia dirigente che non posso segnare gli eventuali mancanze di orario o gli eventuali straordinari entro la fine di il mese che poi devo andare in ferie perchè non riesco a vedere le mie timbrature ||| ma io gli assicuro che glie lo faccio <*> ma io gli assicuro che glie lo faccio sbloccare il suo numero di telefono signora
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| le lascio solo il numero di richiesta signora ||| almeno se lo tenga
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| sono <PER> ||| chiamo da <LOC> <LOC>
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| è <PER> <PER> <PER> ||| sono un consulente
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| ho un problema a il computer ||| praticamente lo accendo parte e poi dopo un po che che è acceso non arriva più nessun segnale a il monitor
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| lo accendo ||| 38
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| 38 ||| e poi dopo un po che che è acceso non arriva più nessun segnale a il monitor
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| 38 ||| poi dopo un po che che è acceso non arriva più nessun segnale a il monitor
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| dopo <*> non arriva più nessun segnale a il monitor ||| un po che che è acceso
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| non arriva più nessun segnale a il monitor ||| il monitor funziona perfettamente
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| il monitor funziona perfettamente ||| rimane lì tutto buio
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| ho provato a collegar lo a altri monitor ||| ma fa lo stesso scherzo
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| non lo fa diciamo sempre ||| a volte funziona per un po' e dopo un po' non funziona più
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| a volte funziona per un po' ||| e dopo un po' non funziona più
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| tu mi hai detto il monitor non funziona ||| perché hai provato a collegar ne altri ma ti da lo stesso problema
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| hai provato a collegar ne altri ||| ma ti da lo stesso problema
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| purtroppo non posso controllare la mail quindi ||| mi dai la reme di
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| non riesco ad accedere a la procedura de delibera determina ||| mi dice impossibile visualizzare la pagina
['Temporal', 'Temporal.Synchrony', 'and'] ||| [None, None, None] ||| allora solo un secondo ||| mi dà i dati di la sua postazione intanto
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| si è bloccato <*> allora ||| provi un pò di nuovo a fare accesso
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| ci lavoro sopra un attimo ||| e poi la richiamo
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| ci lavoro sopra un attimo ||| poi la richiamo
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| la richiamo non appena ||| ho finito
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| ho bisogno allora di <*> ho bisogno allora di lavorar ci un attimino ||| perchè pensavo fosse un pò più semplice
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| quando apre <SW> <SW> ||| vede queste pagine un pò particolari
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| allora mi collego ||| iniziamo a mettere come pagina predefinita una vuota
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| iniziamo a mettere come pagina predefinita una vuota ||| ma <*> mi apre l' altra pagina
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| iniziamo a mettere come pagina predefinita una vuota ||| però mi apre l' altra pagina
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| iniziamo a mettere come pagina predefinita una vuota ||| chiudiamo questo
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| chiudiamo questo ||| andiamo su le proprietà di internet
['Expansion', 'Expansion.Alternative', 'and'] ||| [None, None, None] ||| andiamo su le proprietà di internet ||| anzi no
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| ora svuoto il cestino ||| adesso dovrebbe comparire una pagina bianca
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| casetta funziona ||| ma molto probabilmente è successo questo
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| molto probabilmente è successo questo ||| questo succede che navigando su internet si possono trovare di le pubblicità o qualcosa di il genere che in automatico si impostano come pagina iniziale e poi danno fastidio
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| in automatico si impostano come pagina iniziale ||| e <*> danno fastidio
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| in automatico si impostano come pagina iniziale ||| poi danno fastidio
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| danno fastidio ||| perchè chiedono sempre se voglio possono stare come pagine iniziale oppure le aprono anche tante tante pagine di <SW> <SW> in contemporanea
['Expansion', 'Expansion.Alternative', 'and'] ||| [None, None, None] ||| chiedono sempre se voglio possono stare come pagine iniziale ||| oppure le aprono anche tante tante pagine di <SW> <SW> in contemporanea
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| allora m' ha detto <PER> ||| allora m' ha detto che non riusciva ad accedere a il computer
['Temporal', 'Temporal.Synchrony', 'and'] ||| [None, None, None] ||| non riusciva ad accedere a il computer ||| e le manca la procedura <SW>
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| avrei bisogno di il RWS di il PC ||| però quel PC è fuori rete
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| ci dev' essere stato un problema di rete più o meno per tutta la sede ||| e quindi ci sono stati vari problemi
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| ci dev' essere stato un problema di rete più o meno per tutta la sede ||| quindi ci sono stati vari problemi
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| ieri ci dev' essere stato un problema di rete più o meno per tutta la sede ||| io ieri non c' ero
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| io ieri non c' ero ||| quindi non so bene se il computer possa essere stato apre aperto o comunque insomma se possa essere stato risolto il problema
['Expansion', 'Expansion.Alternative', 'and'] ||| [None, None, None] ||| se il computer possa essere stato apre aperto ||| o comunque insomma se possa essere stato risolto il problema
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| ieri ci dev' essere stato un problema di rete più o meno per tutta la sede ||| infatti il problema di <SW> è legato proprio a questo
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| il problema di <SW> è legato proprio a questo ||| perchè lui si deve collegar si a un server e quindi non le carica l' icona
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| allora stiamo facendo solo una verifica ||| mi può solo fare una prova
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| fare una prova ||| vedere se il cavo di rete è collegato bene sia su il muro che dietro il computer
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| vedere se il cavo di rete è collegato bene sia su il muro che dietro il computer ||| a il limite provare a scollegar lo e ricollegar lo
['Temporal', 'Temporal.Synchrony', 'and'] ||| [None, None, None] ||| a il limite provare a scollegar lo e ricollegar lo ||| io la attendo in linea
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| in questo momento sì ||| perchè le colleghe l' hanno risolto ieri appunto
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| in questo momento sì ||| ci sia qualcun' altro è comunque in la sede che ha problemi
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| volevo solo vedere se avevo qualche segnalazione ||| perchè qui non mi dicono nu la
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| credo che ci sia qualcun' altro è comunque in la sede che ha problemi ||| infatti ieri non entravano in la posta
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| ieri non entravano in la posta ||| ci fossero problemi proprio in la procedura
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| ci fossero problemi proprio in la procedura ||| c' era <*> c' era anche problemi su le stampanti di rete <*> c' era anche problemi su le stampanti di rete problemi su le stampanti di rete
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| ci fossero problemi proprio in la procedura ||| è stata un pò una giornata dove sì ci sono ci sono stati i computer facevano un pò le bizze
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| non credo proprio ||| perchè ognuno c' ha la sua torretta e ognuno c' ha il <*> perchè ognuno c' ha la sua torretta e ognuno c' ha il suo computer collegato
['Temporal', 'Temporal.Synchrony', 'and'] ||| [None, None, None] ||| ognuno c' ha la sua torretta ||| e ognuno c' ha il <*> e ognuno c' ha il suo computer collegato
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| ognuno c' ha il <*> ognuno c' ha il suo computer collegato ||| e sono tutti attivi in questo momento
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| sono tutti già in linea che stanno lavorando ||| e <*> devo vedere di mandare qualcuno lì
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| sono tutti già in linea che stanno lavorando ||| allora devo vedere di mandare qualcuno lì
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| le lascio solo il numero di la chiamata ||| vedo di mandar le lì il tecnico
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| è possibile che abbia fatto di i pasticci ||| ma non mi sembra la solita password
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| non mi sembra la solita password ||| non l' ha cambiata
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| anche se non abbiamo ancora avuto ad oggi la certezza di quanto le sto per dire ||| io presumo che fino a la scorsa settimana praticamente vi avessero concesso la possibilità di entrare in due modi o con l' iniziale di il nome con attaccato il cognome oppure sì nome spazio cognome tutti in minuscolo
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| presumo che fino a la scorsa settimana praticamente vi avessero concesso la possibilità di entrare in due modi o con l' iniziale di il nome con attaccato il cognome oppure sì nome spazio cognome tutti in minuscolo ||| perchè <*> io da che conosco <SW> <SW> so che le persone sono sempre entrate con nome spazio cognome però tanti adesso ci stanno chiamando dicendo che entravano con nome iniziale di il nome più il cognome
['Temporal', 'Temporal.Synchrony', 'and'] ||| [None, None, None] ||| io <*> conosco <SW> <SW> ||| da che <*> da che so che le persone sono sempre entrate con nome spazio cognome
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| le persone sono sempre entrate con nome spazio cognome ||| però tanti adesso ci stanno chiamando dicendo che entravano con nome iniziale di il nome più il cognome
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| entravano con nome iniziale di il nome più il cognome ||| perchè è la nostra utenza interna interna
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| entravano con nome iniziale di il nome più il cognome ||| però <*> adesso bisogna solo più entrare con nome spazio cognome
